,CSD_ID,Huckel_SMI
0,ABAFOZ,Cc1cc2ccccc2c2-c3c([O-]->[Pd+2]4(<-[O-]c12)<-N(C)(CCN->4(C)Cc1ccccc1)Cc1ccccc1)c(C)cc1ccccc31
1,ABAFUF,CN1(CCN(C)(Cc2ccccc2)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1ccccc1
2,ABAGAM,CN1(CCN(C)(Cc2c3ccccc3cc3ccccc23)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1c2ccccc2cc2ccccc12
3,ABAJAP,Cc1ccc([S-]->[Ni+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1
4,ABAJET,Cc1ccc([S-]->[Zn+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1
5,ABAJIZ,C=CCN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1
6,ABAJOF,CN1C=CN(CCO)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1
7,ABAKAS,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1
8,ABAKIA,O=Cc1ccc(CN2C=CN(CCN3CCOCC3)[C]2->[Pt+2](<-[I-])(<-[I-])<-n2ccccc2)cc1
9,ABAKOG,CCOC(CN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1)OCC
10,ABANUN,CP(C)(c1ccccc1)->[Au+3](<-[I-])(<-[I-])<-[I-]
11,ABAPAV,CC(C)P(->[Au+]<-[I-])(C(C)C)C(C)C
12,ABAQUQ,[I-]->[Au+3]1(<-[I-])<-P(c2ccccc2)(c2ccccc2)c2ccccc2P->1(c1ccccc1)c1ccccc1
13,ABASAA,CC1c2ccccn2->[Zn+2]2(<-[N-2][N+]#N)(<-[N-2][N+]#N)<-N=1CCN->21CCOCC1
14,ABASEC,CC1=N([O-])->[Ni+2]23<-N(O)=C(C)C(C)(C)N->2CCCN->3C1(C)C
15,ABASEE,CC1c2ccccn2->[Co+3]2(<-[N-2][N+]#N)(<-[N-2][N+]#N)(<-[N-2][N+]#N)<-N=1CCN->21CCOCC1
